排名,分类,书名,周点击,作者,更新时间,等级,链接,性质,总点击,月点击,周点击,总推荐,月推荐,周推荐,字数
90,异术超能,修真传人在都市,10701,梦道者,2014-08-20 12:07, 作家等级：LV2 ,http://www.qidian.com/Book/3221623.aspx,公众作品,93991,71189,15533,2346,2346,2346,230992
91,异界大陆,天骄无双,10674,跳舞,2014-08-20 07:15, 作家等级：LV7 ,http://www.qidian.com/Book/2648573.aspx,         VIP作品 ,7056993,146925,26979,1162892,1162892,1162892,2652252
92,时空穿梭,盖亚的异乡者,10588,晴愈少,2014-08-20 16:27,No Level,http://www.qidian.com/Book/3244325.aspx,公众作品,43057,38927,7312,5520,5520,5520,193601
93,古武机甲,星战风暴,10570,骷髅精灵,2014-08-20 14:41, 作家等级：LV7 ,http://www.qidian.com/Book/3054965.aspx,         VIP作品 ,16107581,671869,123800,1637473,1637473,1637473,1428163
94,电子竞技,英雄联盟电竞梦,10557, 完美WM ,2014-08-19 20:57,No Level,http://www.qidian.com/Book/3051389.aspx,         VIP作品 ,750604,157664,25553,39989,39989,39989,654950
95,东方玄幻,妖族,10554,衣冠似雪,2014-08-20 13:01, 作家等级：LV1 ,http://www.qidian.com/Book/3268077.aspx,公众作品,9450,9450,9450,3574,3574,3574,21924
96,时空穿梭,时空商业帝国,10496,最爱抽大奖,2014-08-20 10:06,No Level,http://www.qidian.com/Book/3225156.aspx,公众作品,155248,104821,11633,5096,5096,5096,217781
97,奇幻修真,我欲成魔,10486,宸心,2014-08-20 16:50,No Level,http://www.qidian.com/Book/3259038.aspx,公众作品,22775,22775,13167,1298,1298,1298,78763
98,时空穿梭,无限规划局,10277,剑若生,2014-08-20 17:57, 作家等级：LV1 ,http://www.qidian.com/Book/3247916.aspx,公众作品,31735,31041,8232,821,821,821,125708
99,架空历史,穿梭时空的商人,10206,上善若无水,2014-08-20 17:01,No Level,http://www.qidian.com/Book/3089203.aspx,         VIP作品 ,791538,103305,22085,37846,37846,37846,1034117
100,时空穿梭,最次元,10183,稻叶书生,2014-08-20 00:51,No Level,http://www.qidian.com/Book/3200670.aspx,公众作品,105892,57444,7878,5986,5986,5986,246619
101,历史传记,钢铁雄心之舰男穿越记,10083,半只青蛙,2014-08-19 20:41, 作家等级：LV1 ,http://www.qidian.com/Book/3217299.aspx,公众作品,84629,41072,5403,12754,12754,12754,165623
102,都市生活,机电帝国,10059,老井古柳,2014-08-20 08:36, 作家等级：LV4 ,http://www.qidian.com/Book/3234579.aspx,公众作品,62353,50675,11982,3970,3970,3970,191150
103,异界大陆,战破蛮荒,10016,一颗,2014-08-20 19:04, 作家等级：LV3 ,http://www.qidian.com/Book/3184800.aspx,公众作品,142036,56855,23824,4239,4239,4239,319047
104,虚拟网游,江湖我独行,9985,心之弈剑,2014-08-19 23:29,No Level,http://www.qidian.com/Book/3166138.aspx,         VIP作品 ,449813,65064,10335,68196,68196,68196,1045842
105,洪荒封神,上天传说,9948,温暖小胖,2014-08-20 13:40,No Level,http://www.qidian.com/Book/3253264.aspx,公众作品,39087,39087,10451,3085,3085,3085,172660
106,异界大陆,图国,9946,绯红之海,2014-08-20 12:24,No Level,http://www.qidian.com/Book/3257402.aspx,公众作品,13437,13437,10433,1943,1943,1943,58866
107,时空穿梭,影视空间之帝国崛起,9695,红尘万丈,2014-08-20 00:26,No Level,http://www.qidian.com/Book/3208221.aspx,公众作品,104139,62225,7738,4644,4644,4644,190161
108,异术超能,无限动物分身,9665,小城古道,2014-08-20 10:03,No Level,http://www.qidian.com/Book/3224661.aspx,公众作品,76216,65995,10355,2686,2686,2686,169651
109,异界大陆,史上第一祖师爷,9337,八月飞鹰,2014-08-20 11:33,No Level,http://www.qidian.com/Book/3144004.aspx,         VIP作品 ,600494,87977,11524,36388,36388,36388,1012269
110,异术超能,我的当铺系统,9294,素手游太清,2014-08-20 19:06,No Level,http://www.qidian.com/Book/3233451.aspx,公众作品,92559,90445,18937,1275,1275,1275,236792
111,动漫同人,我的青春恋爱物语没有问题,9250,比企谷八幡,2014-08-20 16:37,No Level,http://www.qidian.com/Book/2995230.aspx,公众作品,343247,50124,6303,75615,75615,75615,581295
112,古典仙侠,狂仙,9196,陈风笑,2014-08-20 14:12, 作家等级：LV6 ,http://www.qidian.com/Book/3200590.aspx,         VIP作品 ,360828,105105,13813,142387,142387,142387,432374
113,异术超能,都市之游戏化人生,9182,键盘华尔兹,2014-08-20 18:06,No Level,http://www.qidian.com/Book/3241182.aspx,公众作品,37283,37000,9808,800,800,800,121772
114,古典仙侠,         仙路争锋(书坊) ,9090, 缘分0 ,2014-08-20 12:01, 作家等级：LV1 ,http://www.qidian.com/Book/3149426.aspx,         VIP作品 ,28775,7868,4167,2890,2890,2890,1693836
115,奇幻修真,夺回天庭,9050,刘罡,2014-08-19 21:07,No Level,http://www.qidian.com/Book/3248712.aspx,公众作品,42663,41554,10883,2522,2522,2522,133574
116,动漫同人,穿越者纵横动漫世界,8896,龙之宫,2014-08-19 19:44,No Level,http://www.qidian.com/Book/2820988.aspx,公众作品,1198448,56014,6289,53987,53987,53987,1036753
117,娱乐明星,星际巨星,8868,紫山居士,2014-08-20 12:54,No Level,http://www.qidian.com/Book/3241165.aspx,公众作品,32752,31633,9447,1065,1065,1065,137358
118,都市生活,混在美国当土豪,8696,驾雾,2014-08-20 19:06,No Level,http://www.qidian.com/Book/3150445.aspx,         VIP作品 ,784993,49563,7536,73320,73320,73320,906534
119,现代修真,我有修真小世界,8673,冰骑,2014-08-20 14:03,No Level,http://www.qidian.com/Book/3234248.aspx,公众作品,43711,42153,14405,1132,1132,1132,165619
120,异界大陆,英雄信条,8655,相思洗红豆,2014-08-20 18:17, 作家等级：LV4 ,http://www.qidian.com/Book/3034175.aspx,         VIP作品 ,1010144,22413,3983,140109,140109,140109,1912239
121,时空穿梭,无限自由者,8624,格哈卡,2014-08-19 22:20,No Level,http://www.qidian.com/Book/3189357.aspx,公众作品,40819,27803,15861,806,806,806,173760
122,两宋元明,大宋的智慧,8584, 孑与2 ,2014-08-18 22:15, 作家等级：LV6 ,http://www.qidian.com/Book/3070038.aspx,         VIP作品 ,1631551,143597,18645,259666,259666,259666,925232
123,都市生活,材料帝国,8513,齐橙,2014-08-20 04:46, 作家等级：LV3 ,http://www.qidian.com/Book/3172915.aspx,         VIP作品 ,1019147,102951,9640,167197,167197,167197,618991
124,异术超能,电影教学系统,8403,祖腰,2014-08-19 22:28,No Level,http://www.qidian.com/Book/3238115.aspx,公众作品,60723,59473,19213,593,593,593,172834
125,时空穿梭,神盾局里的镜像特工,8359,不争之人,2014-08-20 06:52,No Level,http://www.qidian.com/Book/3257068.aspx,公众作品,33933,33933,9742,1643,1643,1643,57569
126,都市生活,网络霸主,8236,六总,2014-08-20 10:59,No Level,http://www.qidian.com/Book/3245481.aspx,公众作品,10041,10041,9989,948,948,948,37148
127,奇幻修真,锻仙,8218,新兵扛老枪,2014-08-20 17:18, 作家等级：LV3 ,http://www.qidian.com/Book/2466815.aspx,         VIP作品 ,2979338,259740,12624,218098,218098,218098,4034789
128,时空穿梭,电影世界逍遥行,8177,绿豆冰糖水,2014-08-20 14:17,No Level,http://www.qidian.com/Book/3222672.aspx,公众作品,92160,65730,7850,1925,1925,1925,210193
129,奇幻修真,魔天记,8143,忘语,2014-08-19 23:06, 作家等级：LV7 ,http://www.qidian.com/Book/3022294.aspx,         VIP作品 ,7867176,149457,19326,1601774,1601774,1601774,1649117
130,异术超能,都市阵法师,8132,五彩贝壳,2014-08-20 19:02, 作家等级：LV2 ,http://www.qidian.com/Book/3186919.aspx,         VIP作品 ,422439,220275,15663,12010,12010,12010,491172
131,时空穿梭,漫威世界里的超人,8056,纯洁的猪头,2014-08-20 15:49,No Level,http://www.qidian.com/Book/3198856.aspx,         VIP作品 ,967323,185135,17453,105568,105568,105568,419142
132,动漫同人,幻想乡的一己之见,8044,忘川妖仙宁楚,2014-08-20 03:42,No Level,http://www.qidian.com/Book/2822373.aspx,公众作品,357879,32920,4867,27247,27247,27247,768013
133,架空历史,义气水浒,8018,藏剑翁,2014-08-20 14:07, 作家等级：LV2 ,http://www.qidian.com/Book/3230756.aspx,公众作品,79027,55618,12692,3332,3332,3332,194111
134,洪荒封神,带着商城混西游,7918,白小胖,2014-08-20 17:34,No Level,http://www.qidian.com/Book/3188077.aspx,         VIP作品 ,542633,261428,24591,15351,15351,15351,292924
135,东方玄幻,无敌药尊,7888,炖肉大锅菜,2014-08-20 12:52, 作家等级：LV4 ,http://www.qidian.com/Book/3194155.aspx,         VIP作品 ,1508744,228957,14252,71176,71176,71176,509698
136,异界大陆,七血再世,7879, hxb韩晓博 ,2014-08-20 11:31,No Level,http://www.qidian.com/Book/3259990.aspx,公众作品,13410,13410,9271,1976,1976,1976,55543
137,进化变异,超神异形,7806,风中捉刀,2014-08-20 10:08,No Level,http://www.qidian.com/Book/3237924.aspx,公众作品,37834,36395,12438,823,823,823,156644
138,两晋隋唐,大唐虎贲,7771,无言不信,2014-08-20 11:24,No Level,http://www.qidian.com/Book/3176436.aspx,         VIP作品 ,597133,297951,19073,18900,18900,18900,331577
139,外国历史,帝国海权,7750,星光破裂,2014-08-20 12:17,No Level,http://www.qidian.com/Book/3197525.aspx,公众作品,44156,25316,7363,3831,3831,3831,332490
140,进化变异,神魔超进化,7542,小小小柠檬,2014-08-20 15:51, 作家等级：LV1 ,http://www.qidian.com/Book/3259004.aspx,公众作品,14140,14140,8461,1255,1255,1255,74350
141,动漫同人,萝莉吸血鬼也能当主角,7529,所谓神迹,2014-08-20 16:00,No Level,http://www.qidian.com/Book/3124500.aspx,公众作品,243466,43184,6341,12739,12739,12739,1017753
142,末世危机,末世化学家,7529,龙鬼蛇神,2014-08-19 23:56,No Level,http://www.qidian.com/Book/3179324.aspx,         VIP作品 ,583981,76349,18386,45212,45212,45212,469063
143,未来世界,重生之超级战舰,7501,彩虹之门,2014-08-20 18:28, 作家等级：LV3 ,http://www.qidian.com/Book/2892286.aspx,         VIP作品 ,1930589,73779,9277,190460,190460,190460,2840538
144,异界大陆,傲世九重天,7491,风凌天下,2014-08-20 03:40, 作家等级：LV7 ,http://www.qidian.com/Book/1952707.aspx,         VIP作品 ,33694318,331136,34801,2490033,2490033,2490033,8442169
145,虚拟网游,最强文圣,7458,天火散人,2014-08-20 18:45,No Level,http://www.qidian.com/Book/3223950.aspx,公众作品,34921,30674,9292,3623,3623,3623,215808
146,异术超能,青寰农庄,7418,温核冬天,2014-08-19 17:37,No Level,http://www.qidian.com/Book/3239376.aspx,公众作品,45978,43713,9256,715,715,715,251774
147,东方玄幻,灵域,7288,逆苍天,2014-08-20 18:36, 作家等级：LV7 ,http://www.qidian.com/Book/2817301.aspx,         VIP作品 ,5673030,117887,16664,470285,470285,470285,2758898
148,都市生活,宝鉴,7285,打眼,2014-08-20 01:29, 作家等级：LV7 ,http://www.qidian.com/Book/2838535.aspx,         VIP作品 ,6638320,117104,15296,807480,807480,807480,2482471
149,动漫同人,东方结庐人,7279,白明弦,2014-08-20 17:23,No Level,http://www.qidian.com/Book/2913368.aspx,公众作品,177700,21051,6632,16021,16021,16021,383134
